REG_CODE,TOWN_CODE,TOWN_ID,TOWN_NAME,f2020,m2020,t2020
M2,M200,MZN,MANZINI,26898,22667,49565
H1,H100,MBN,MBABANE,20778,18326,39104
H1,H105,NGW,NGWENYA,3455,2443,5898
H1,H106,EZL,EZULWINI,5664,5778,11442
H1,H108,PPK,PIGGS PEAK,9889,8671,18560
H1,H116,BNY,BHUNYA,4233,4201,8434
M2,M202,MTS,MATSAPHA ,31886,29564,61450
M2,M204,MLK,MALKERNS,7434,6580,14014
M2,M206,MNK,MANKAYANE,5244,5321,10565
M2,M216,SDV,SIDVOKODVO,3767,3445,7212
M2,M209,LVE,LUVE,3323,3434,6757
S4,S400,NHO,NHLANGANO,10334,9345,19679
S4,S401,HTK,HLATIKHULU,5389,6566,11955
S4,S409,HLT,HLUTI,5957,5065,11022
S4,S406,MHB,MAHAMBA,4754,4853,9607
S4,S410,LVM,LAVUMISA,3555,3966,7521
L3,L300,STK,SITEKI,7907,7087,14994
L3,L301,SMY,SIMUNYE,6434,8558,14992
L3,L309,MHL,MHLUME,5876,6865,12741
L3,L311,BBD,BIG BEND,7546,8585,16131
L3,M214,SPO,SIPHOFANENI,10568,9564,20132
